,NaturalizedCountry2016,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
51,Curacao,13,0,0,0,0,2,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
52,Cyprus,105,0,0,2,2,11,2,0,2,2,4,4,0,2,0,4,2,2,0,0,0,2,4,9,2,0,0,2,0,0,0,0,9,0,23,3,0,3,0,0,2,0,0,2,0,2,3,0,0,2,0,7,2,0,0,0,0
53,Czechia,692,9,2,7,2,109,24,11,2,2,115,23,0,3,3,60,3,0,2,2,2,2,11,25,8,7,2,0,0,0,4,2,15,2,58,19,2,7,3,15,22,0,2,10,0,4,30,0,0,4,4,16,32,2,6,2,2
54,Czechoslovakia (former),344,2,2,5,2,43,22,7,2,2,36,13,0,4,2,16,3,2,2,2,2,2,7,17,10,5,2,3,0,2,3,2,12,3,29,6,3,5,3,4,6,0,2,5,2,6,10,0,0,3,2,10,16,0,2,2,1
55,Denmark,1193,2,3,20,2,295,25,27,2,4,67,33,0,10,6,29,5,3,5,5,2,9,37,53,13,11,2,5,3,4,8,14,61,8,77,29,0,15,2,26,27,2,2,10,0,13,76,0,3,5,4,34,80,0,17,0,1
56,Djibouti,52,0,2,2,0,2,4,0,0,2,0,2,0,0,0,0,0,0,0,2,0,4,4,3,0,10,0,0,0,0,0,0,0,0,0,0,2,3,0,0,5,0,0,0,0,0,3,0,0,2,0,2,5,0,0,0,0
57,Dominica,610,2,5,2,0,12,2,16,0,2,78,30,0,0,0,7,2,0,2,2,3,0,16,17,2,0,2,2,0,0,2,0,46,0,146,6,2,3,3,0,7,2,0,2,0,2,39,2,143,0,0,5,6,0,0,0,3
58,Dominican Republic,31320,13,27,26,6,110,24,587,34,51,2774,224,0,2,4,97,46,7,13,12,95,11,306,2974,89,14,24,24,2,8,38,110,5148,5,13297,322,5,125,15,8,1463,1774,718,61,2,34,220,6,119,31,4,117,24,4,41,2,25
59,Ecuador,8568,7,2,23,4,408,22,407,9,7,1225,96,2,5,5,272,13,7,14,11,13,3,133,124,24,84,7,14,2,6,28,10,1703,5,2984,175,2,31,6,15,132,34,21,34,2,36,203,0,0,43,2,90,38,4,13,0,12
60,Egypt,5696,6,2,34,6,984,19,40,28,6,303,51,0,6,3,107,41,12,12,19,15,5,74,189,86,66,6,17,0,4,16,8,1013,7,784,116,3,97,12,39,215,2,16,48,2,411,322,0,2,7,0,328,75,5,22,3,5
61,El Salvador,17213,10,10,116,140,5964,122,79,14,151,609,324,0,7,15,122,70,55,58,22,27,7,1420,569,40,73,10,43,2,68,416,9,612,24,1483,366,4,42,36,78,63,13,33,46,12,68,2136,4,3,82,2,1331,162,14,16,2,10
62,Equatorial Guinea,18,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,2,2,0,2,0,0
63,Eritrea,1797,2,0,37,2,243,65,5,2,43,25,68,0,0,7,38,16,25,9,15,6,3,114,32,11,57,2,34,2,2,49,0,8,0,53,80,2,73,16,20,42,0,6,6,20,20,196,0,0,15,0,110,210,2,5,0,3
64,Estonia,183,2,2,2,0,16,2,4,2,0,33,5,0,3,0,7,0,0,0,0,2,2,4,4,2,2,0,2,0,0,4,0,11,2,23,8,2,4,2,2,5,0,2,2,0,0,7,0,0,0,2,8,12,0,2,0,1
65,Ethiopia,8725,8,3,81,4,816,349,19,7,327,87,512,0,2,2,132,52,69,59,30,9,12,1066,166,53,594,3,68,2,34,297,3,58,9,176,144,27,234,27,109,119,0,9,14,71,130,744,2,0,10,2,984,914,27,35,2,14
66,Falkland Islands,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Fiji,996,3,0,11,0,717,3,2,0,0,14,7,3,6,2,2,2,0,2,0,0,0,0,2,6,2,0,2,2,0,7,0,2,0,2,2,0,4,2,25,5,0,0,2,0,2,15,2,0,2,2,7,140,0,0,0,0
68,Finland,303,2,2,3,2,57,6,3,0,3,42,15,0,2,0,5,3,0,2,2,2,3,10,7,9,7,0,2,2,0,0,0,10,3,20,6,2,5,2,4,6,0,0,3,2,3,20,0,0,9,0,6,17,2,2,0,2
69,France,2841,6,3,38,2,719,38,37,5,34,325,72,0,7,10,68,8,4,7,4,21,5,80,124,46,36,2,14,2,0,32,11,100,11,387,33,2,23,10,47,63,5,12,23,2,9,144,2,0,20,6,72,81,2,26,2,5
70,French Polynesia,18,0,0,0,0,2,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0
71,Gabon,83,2,0,0,0,6,3,2,0,2,2,7,0,0,0,2,0,2,0,0,0,0,12,2,0,2,0,2,0,0,2,0,2,0,10,3,0,3,2,2,2,0,0,0,0,0,12,0,0,0,2,3,2,0,2,0,0
72,Gambia,724,3,5,4,2,11,5,4,2,2,20,78,0,0,0,8,3,2,11,13,2,2,55,11,16,19,0,7,0,3,2,2,10,0,174,22,2,25,2,6,9,0,7,5,2,11,42,0,0,2,0,7,88,0,24,0,2
73,Georgia,988,2,2,4,2,168,12,12,2,2,22,11,0,0,0,15,2,2,0,5,2,2,20,17,10,4,3,2,0,0,2,2,107,0,414,12,0,16,2,7,41,2,0,6,0,2,16,0,0,2,2,15,23,0,4,2,1
74,Germany,4329,42,16,103,16,734,117,52,12,18,389,155,2,31,22,121,35,16,25,30,19,10,103,124,125,31,3,39,11,7,47,12,136,33,315,146,7,82,29,88,116,2,14,68,3,67,247,8,4,23,19,165,197,10,54,8,22
75,Ghana,6411,9,10,38,13,183,105,161,35,7,109,308,0,2,0,238,42,17,13,31,14,2,571,384,53,81,4,32,4,11,16,6,588,9,1299,149,31,394,51,21,172,2,21,36,2,46,381,13,2,13,2,559,72,10,25,4,14
76,Gibraltar,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
77,Greece,1013,3,0,10,2,114,6,27,4,3,57,12,0,0,0,65,5,2,2,2,3,4,39,101,22,2,0,5,2,0,9,12,74,2,247,20,2,16,4,5,43,0,2,9,0,6,29,2,2,3,4,17,13,2,3,0,1
78,Greenland,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Grenada,658,0,2,2,0,7,0,6,2,2,48,15,0,0,0,3,0,0,0,2,2,0,25,10,4,0,0,2,2,0,2,0,28,0,442,5,0,2,2,0,14,0,2,2,0,2,22,0,2,0,0,4,3,0,0,0,1
