,NaturalizedCountry2011,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
84,Honduras,3980,23,5,29,14,469,37,34,4,5,905,99,0,3,2,74,29,11,14,11,211,0,98,128,9,23,5,13,0,17,38,7,244,4,442,119,2,28,25,14,47,8,8,35,2,32,420,8,0,22,0,94,26,2,22,2,58
85,Hong Kong,2184,8,2,36,3,910,14,14,3,2,65,32,4,39,2,51,6,2,7,9,7,2,27,103,16,12,2,8,0,0,26,4,54,2,328,15,0,16,6,14,27,2,3,15,2,6,124,0,0,6,2,15,109,2,11,0,15
86,Hungary,953,6,2,24,2,155,21,24,2,2,209,10,0,2,2,26,3,0,0,4,0,0,11,25,12,5,2,4,0,2,18,2,63,3,109,17,2,30,5,7,29,0,2,5,0,4,39,2,0,4,0,23,20,0,9,0,8
87,Iceland,76,0,0,0,0,8,2,2,2,0,15,2,0,2,2,4,2,0,0,0,2,0,2,6,2,0,0,0,0,0,2,0,2,2,2,2,0,2,0,0,2,0,0,0,0,0,3,0,0,0,2,5,5,0,2,0,3
88,India,45985,259,13,550,121,9549,260,712,175,30,1834,1898,0,19,19,3074,508,95,232,266,134,34,1005,1434,1086,420,109,347,6,85,214,154,4929,81,3326,1053,12,1038,184,283,1971,2,68,326,17,517,4216,2,9,64,27,1193,1118,30,391,8,475
89,Indonesia,2345,9,2,25,3,942,52,10,2,2,56,94,0,14,2,49,7,9,11,12,7,4,32,26,6,9,0,7,0,6,33,51,66,2,229,35,0,30,11,23,164,0,3,13,0,11,138,4,0,9,0,42,56,2,15,2,12
90,Iran,9286,24,3,165,8,5191,85,36,6,4,231,182,2,4,5,214,22,14,31,18,15,9,283,124,60,40,7,47,2,12,99,8,130,9,298,92,5,73,51,74,83,2,6,27,2,83,647,0,0,68,2,334,191,7,30,0,123
91,Iraq,3360,11,0,158,0,609,27,10,2,2,55,36,0,3,5,190,10,6,2,17,7,5,20,21,1269,31,2,40,0,37,18,5,21,12,61,19,0,31,14,22,43,2,3,25,3,183,131,2,0,28,0,80,40,2,4,0,41
92,Ireland,1171,2,2,24,2,188,14,27,3,8,68,20,0,0,2,62,5,3,2,6,2,5,18,144,9,6,0,5,2,3,3,17,57,2,230,22,0,21,3,13,35,0,7,8,0,5,40,2,2,4,2,17,37,2,10,0,6
93,Israel,3153,9,2,37,5,733,24,10,5,4,416,74,0,7,0,116,13,3,10,10,5,3,43,102,35,16,2,20,2,2,58,12,198,2,671,36,0,58,2,9,76,4,5,13,0,22,143,2,4,4,2,31,48,2,21,0,27
